Код строки,Статьи отчета,2022,2021,Абсолютное отклонение,"Относительное отклонение, %"
2110,Выручка от основной деятельности,145424,140983,4441,"103,2"
2120,Себестоимость продаж,-126665,-123804,-2861,"102,3"
,Проектные работы,-17041,-17038,-3,100
,Сырье и материалы,-107471,-104218,-3253,"103,1"
,Изготовление,-1052,-1565,513,"67,2"
,Транспортные затраты,-1101,-983,-118,112
2100,Валовая прибыль (убыток),18759,17179,1580,"109,2"
2210,Коммерческие расходы,-4997,-3472,-1525,"143,9"
2220,Управленческие расходы,-591,-1000,409,"59,1"
2200,Прибыль (убыток) от продаж,13171,12707,464,"103,7"
2330,Проценты к уплате,-350,-150,-200,"233,3"
2340,Доходы от прочей деятельности,9725,9457,268,"102,8"
2350,Прочие расходы,-1000,-998,-2,"100,2"
2300,Прибыль (убыток) до налогообложения,21546,21016,530,"102,5"
2460,Единый налог,-8725,-8459,-266,"103,1"
2400,Чистая прибыль (убыток),12821,12557,264,"102,1"